Company Name,Industry,Stage,Amount($),HeadQuarter,Funding Year,category
PiBeam,automotive tech,unknown,50000000.0,Chennai,2019,Technology
Euler Motors,automotive tech,unknown,2000000.0,Delhi,2019,Technology
Moms Co,e-commerce,Series A to Series H,5000000.0,New Delhi,2019,E-Commerce & Marketplace
Cubical Labs,iot,Series A to Series H,0.0,unknown,2019,Other
Lawyered,legal tech,unknown,100000.0,Delhi,2019,Technology
Cuemath,edtech,unknown,5500000.0,Bangalore,2019,Technology
Licious,food,Series A to Series H,25000000.0,Bangalore,2019,Food & Agriculture
Nivesh.com,mutual funds,unknown,600000.0,Noida,2019,Other
Zebu,cybersecurity,Early Stage,4000000.0,unknown,2019,Other
Smart Institute,edtech,unknown,1500000.0,Surat,2019,Technology
CarDekho,automobile,Series A to Series H,70000000.0,Jaipur,2019,Autommotive $ Transportation
Shadowfax,logistics,Series A to Series H,60000000.0,Bangalore,2019,Autommotive $ Transportation
Credr,automobile,unknown,6000000.0,Mumbai,2019,Autommotive $ Transportation
Sportido,sports,Series A to Series H,0.0,Noida,2019,Other
Phable,healthtech,unknown,220000.0,unknown,2019,Technology
Sarva,yoga & wellness,unknown,2800000.0,Chennai,2019,Healthcare
IndyFint,virtual banking,Series A to Series H,2100000.0,Bangalore,2019,Finance $ Banking
Zolostays,accomodation,unknown,7000000.0,unknown,2019,Other
Ola,transportation,unknown,311000000.0,Bangalore,2019,Autommotive $ Transportation
Zoomcar,transport & rentals,unknown,4800000.0,Bangalore,2019,Autommotive $ Transportation
Kratikal,technology,Early Stage,1000000.0,Uttar pradesh,2019,Technology
Froogal,marketing & customer loyalty,Early Stage,1000000.0,Hyderabad,2019,E-Commerce & Marketplace
Infra.Market,infratech,Series A to Series H,20000000.0,Mumbai,2019,Technology
Oyo,hospitality,unknown,693000000.0,Gurugram,2019,Other
GoMechanic,automobile & technology,Series A to Series H,5000000.0,Delhi,2019,Technology
Spinny,automobile,unknown,50000000.0,Delhi,2019,Autommotive $ Transportation
Ess Kay Fincorp,banking,unknown,33000000.0,Rajasthan,2019,Finance $ Banking
Aqgromalin,agritech,unknown,200000.0,Chennai,2020,Technology
Krayonnz,edtech,Early Stage,100000.0,Bangalore,2020,Technology
PadCare Labs,hygiene management,Early Stage,111909478.7413793,Pune,2020,Other
NCOME,escrow,unknown,400000.0,New Delhi,2020,Other
Gramophone,agritech,unknown,340000.0,Indore,2020,Technology
